State,LGA,11: Separate house,"21: Semi-detached, row or terrace house, townhouse etc. with : One storey","22: Semi-detached, row or terrace house, townhouse etc. with : Two or more storeys",31: Flat or apartment: In a one or two storey block,32: Flat or apartment: In a three storey block,33: Flat or apartment: In a four or more storey block,34: Flat or apartment: Attached to a house,91: Caravan,"92: Cabin, houseboat","93: Improved home, tent, sleepers out","94: House or flat attached to a shop, office, etc.",Z: Not stated
6: Tasmania,62410: Glamorgan/Spring Bay (M),380,24,0,17,0,0,0,9,10,0,0,8
6: Tasmania,62610: Glenorchy (C),3921,607,185,1516,50,3,3,0,3,0,36,12
6: Tasmania,62810: Hobart (C),2727,549,778,1904,538,486,47,0,3,3,51,54
6: Tasmania,63010: Huon Valley (M),983,50,3,76,0,0,0,4,13,3,12,3
6: Tasmania,60410: Brighton (M),1557,51,16,307,0,0,0,0,0,0,0,3
6: Tasmania,60210: Break O'Day (M),521,44,0,20,3,0,0,6,0,0,0,11
5: Western Australia,59799: Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,59370: York (S),241,21,0,19,0,0,0,4,0,0,0,3
5: Western Australia,59360: Yilgarn (S),125,16,0,0,0,0,0,3,0,0,0,0
5: Western Australia,59350: Yalgoo (S),26,0,0,0,0,0,0,4,0,0,0,0
5: Western Australia,59340: Wyndham-East Kimberley (S),1019,167,31,79,0,0,0,119,21,53,40,17
5: Western Australia,59330: Wyalkatchem (S),62,3,0,0,0,0,0,0,0,0,0,0
5: Western Australia,59320: Woodanilling (S),39,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,59310: Wongan-Ballidu (S),171,8,0,0,0,0,0,4,0,0,0,0
5: Western Australia,59250: Wiluna (S),87,0,0,0,0,0,0,0,0,0,0,5
5: Western Australia,59170: Williams (S),84,14,0,0,0,0,0,0,0,0,0,0
5: Western Australia,59100: Wickepin (S),51,3,0,4,0,0,0,0,0,0,0,0
5: Western Australia,59030: Westonia (S),22,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,58890: West Arthur (S),90,4,0,0,0,0,0,0,0,0,0,0
5: Western Australia,58820: Waroona (S),243,23,0,27,3,0,0,3,0,0,5,4
5: Western Australia,58760: Wanneroo (C),11314,2241,298,61,24,5,0,22,24,0,3,27
6: Tasmania,63210: Kentish (M),340,0,0,3,0,0,0,0,0,0,0,0
6: Tasmania,63410: King Island (M),185,21,0,3,0,0,0,0,0,0,0,3
6: Tasmania,63610: Kingborough (M),2295,241,113,152,10,0,0,5,4,0,7,11
7: Northern Territory,71000: Darwin (C),4383,1028,1134,1775,1172,3101,8,58,73,4,60,93
8: Australian Capital Territory,89399: Unincorporated ACT,19416,6070,5731,3322,5102,6192,146,4,57,0,19,171
7: Northern Territory,79799: Migratory - Offshore - Shipping (NT),0,0,0,0,0,0,0,0,0,0,0,0
7: Northern Territory,79399: Unincorporated NT,971,180,0,382,84,117,0,57,27,21,11,23
7: Northern Territory,74680: West Daly (R),337,79,0,3,0,0,0,0,0,4,0,0
7: Northern Territory,74660: West Arnhem (R),814,126,15,55,3,0,4,69,0,29,0,13
7: Northern Territory,74560: Wagait (S),34,0,0,0,0,0,0,0,0,0,0,0
7: Northern Territory,74550: Victoria Daly (R),406,33,0,12,0,0,0,32,0,10,4,5
7: Northern Territory,74050: Tiwi Islands (R),501,7,0,22,0,0,0,0,0,0,3,5
7: Northern Territory,73600: Roper Gulf (R),665,87,0,35,0,0,0,74,12,30,3,15
7: Northern Territory,72800: Palmerston (C),3481,602,194,796,89,166,3,4,0,0,3,9
7: Northern Territory,72330: MacDonnell (R),763,53,0,20,0,0,0,20,3,25,4,0
7: Northern Territory,72300: Litchfield (M),1000,42,3,30,88,0,0,81,43,25,3,31
7: Northern Territory,72200: Katherine (T),973,152,16,96,10,58,0,87,0,3,3,67
7: Northern Territory,71300: East Arnhem (R),1066,166,0,3,0,0,0,0,0,4,3,0
7: Northern Territory,70700: Coomalie (S),120,8,0,14,0,0,0,18,7,0,0,3
6: Tasmania,63810: Latrobe (M) (Tas.),787,113,10,63,0,0,0,3,0,0,11,0
7: Northern Territory,70620: Central Desert (R),572,42,0,25,0,0,0,4,4,5,0,7
7: Northern Territory,70540: Belyuen (S),33,5,0,0,0,0,0,0,0,0,0,0
7: Northern Territory,70420: Barkly (R),907,41,4,140,19,0,0,39,3,5,7,9
7: Northern Territory,70200: Alice Springs (T),1682,1008,438,238,21,0,4,77,32,13,139,53
6: Tasmania,69799: Migratory - Offshore - Shipping (Tas.),0,0,0,0,0,0,0,0,0,0,0,0
6: Tasmania,65810: West Tamar (M),1422,99,14,98,0,0,0,6,10,0,5,13
6: Tasmania,65610: West Coast (M),497,28,0,54,0,0,0,3,6,0,0,6
6: Tasmania,65410: Waratah/Wynyard (M),1098,259,8,15,0,0,0,14,0,0,4,3
6: Tasmania,65210: Tasman (M),156,0,0,3,0,0,0,0,0,0,3,3
6: Tasmania,65010: Southern Midlands (M),355,5,0,3,0,0,0,0,0,0,3,3
6: Tasmania,64810: Sorell (M),1075,37,8,3,0,0,0,0,0,0,0,3
6: Tasmania,64610: Northern Midlands (M),1009,84,0,92,0,0,0,0,0,0,5,3
6: Tasmania,64210: Meander Valley (M),1279,104,15,189,0,0,3,0,8,0,4,8
6: Tasmania,64010: Launceston (C),5252,1302,328,1540,97,122,68,5,12,0,52,39
5: Western Australia,58680: Wandering (S),36,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,58570: Vincent (C),1729,609,782,595,855,903,0,3,0,0,33,26
5: Western Australia,53800: Greater Geraldton (C),3232,755,135,199,15,0,0,13,25,3,32,22
5: Western Australia,55390: Menzies (S),54,0,0,0,0,0,0,3,0,0,0,7
5: Western Australia,54970: Laverton (S),122,8,0,0,0,0,0,0,3,0,0,4
5: Western Australia,55040: Leonora (S),208,21,0,0,0,0,0,3,0,5,8,11
5: Western Australia,55110: Mandurah (C),5994,1243,526,342,44,110,0,41,10,9,3,17
5: Western Australia,55180: Manjimup (S),771,86,0,95,0,0,0,3,0,3,4,10
5: Western Australia,55250: Meekatharra (S),118,4,0,24,0,0,0,3,0,0,0,4
5: Western Australia,55320: Melville (C),4736,2252,462,353,124,63,4,3,0,0,3,23
5: Western Australia,55460: Merredin (S),348,43,0,8,0,0,0,15,0,0,0,3
