X,Y,OBJECTID,ROAD,ROAD_NAME,COMMON_USAGE_NAME,START_SLK,END_SLK,CWY,START_TRUE_DIST,END_TRUE_DIST,NETWORK_TYPE,XSP,RA_NO,RA_NAME,LG_NO,LG_NAME,REST_AREA_TYPE,STAY_24_HOUR,REST_AREA_NAME,OWNERSHIP,INFORMATION_BOARD,SCENIC_LOOKOUT,COMMEMORATION_WAY,SURFACE,SURFACE_TYPE,SURFACE_AREA,CONSTRUCTED_SHELTER,NATURAL_SHADE,LIGHTING_PRESENT,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,EFFLUENT_DUMP_SITE,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,ROUTE_NE_ID
117.3881586,-31.18817734,126850,M016,Goomalling Merredin,Nungarin Wyalkatchem Rd,57.42,57.42,Single,57.42,57.42,State Road,Left,8,Wheatbelt,431,Wyalkatchem,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,600,No,Yes,,1,0,No,No,0,No,247647
117.2307662,-34.98874239,126851,H009,South Western Hwy,South Coast Hwy,450.5,450.5,Single,449.82,449.82,State Road,Right,1,Great Southern,305,Denmark,Minor Rest Area,No,,Main Roads,No,Yes,,Surfaced,Two Coat Seal,,Yes,Yes,,2,0,No,No,1,Yes,247846
118.5639986,-28.01995623,126852,M069,Mt Magnet Leinster Rd,Mt Magnet Sandstone Rd,80.99,80.99,Single,80.99,80.99,State Road,Right,14,Mid West-Gascoyne,704,Mount Magnet,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,770,No,No,,2,0,No,No,0,No,279527004
118.6974838,-34.42070749,126853,H008,South Coast Hwy,South Coast Hwy,108.08,108.08,Single,107.92,107.92,State Road,Left,1,Great Southern,302,Albany (C),Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,0,0,No,No,0,No,247842
121.2563118,-29.4877699,126854,H049,Goldfields Hwy,Goldfields Hwy,237.85,237.85,Single,237.58,237.58,State Road,Right,5,Goldfields - Esperance,609,Menzies,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247645
115.2543211,-29.90994867,126855,H004,Brand Hwy,Brand Hwy,213.98,213.98,Single,211.27,211.27,State Road,Left,14,Mid West-Gascoyne,501,Carnamah,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,754,No,Yes,,1,0,No,No,0,No,247578
117.4835866,-34.23675516,126856,H001,Albany Hwy,Albany Hwy,310.05,310.05,Single,309.64,309.64,State Road,Right,1,Great Southern,304,Cranbrook,Minor Rest Area,No,,Main Roads,No,No,,,,,No,No,,1,0,No,No,0,No,247561
114.0049003,-22.49167061,126857,H048,Minilya Exmouth Rd,Minilya Exmouth Rd,150.32,150.32,Single,150.32,150.32,State Road,Right,14,Mid West-Gascoyne,806,Exmouth,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,864,No,No,,1,0,No,No,0,No,247789
114.3464747,-26.09493964,126858,H007,North West Coastal Hwy,North West Coastal Hwy,318.09,318.09,Single,316.35,316.35,State Road,Left,14,Mid West-Gascoyne,803,Carnarvon,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,1105,No,No,,2,0,No,No,0,No,247803
119.1978221,-28.00453493,126859,M069,Mt Magnet Leinster Rd,Mt Magnet Sandstone Rd,143.44,143.44,Single,143.44,143.44,State Road,Right,14,Mid West-Gascoyne,701,Sandstone,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,770,No,No,,2,0,No,No,0,No,279527004
117.6406283,-29.28155927,126860,H006,Great Northern Hwy,Great Northern Hwy,401.9,401.9,Single,396.69,396.69,State Road,Right,14,Mid West-Gascoyne,707,Yalgoo,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Single Seal,1365,No,No,,1,0,No,No,0,No,247653
119.7035372,-24.27633635,126861,H006,Great Northern Hwy,Great Northern Hwy,1054.48,1054.48,Single,1048.29,1048.29,State Road,Right,11,Pilbara,703,Meekatharra,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,0,No,No,0,No,247653
124.7350785,-32.36243651,126862,H003,Eyre Hwy,Eyre Hwy,299.65,299.65,Single,299.41,299.41,State Road,Left,5,Goldfields - Esperance,603,Dundas,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,1150,No,No,,1,0,No,No,0,No,247631
117.8657174,-33.20184506,126863,M037,Collie Lake King,Dumbleyung Lake Grace Rd,214.35,214.35,Single,179.4,179.4,State Road,Right,8,Wheatbelt,306,Dumbleyung,Heavy Vehicle Rest Area,Yes,,Main Roads,No,No,N,Surfaced,Two Coat Seal,4620,No,No,,2,0,No,No,0,No,247616
116.6698953,-30.32450609,126864,H006,Great Northern Hwy,Great Northern Hwy,227.49,227.49,Single,222.36,222.36,State Road,Left,8,Wheatbelt,503,Dalwallinu,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,350,No,Yes,,1,0,No,No,0,No,247653
114.1595273,-25.57401835,126865,H007,North West Coastal Hwy,North West Coastal Hwy,382.91,382.91,Single,381.17,381.17,State Road,Left,14,Mid West-Gascoyne,803,Carnarvon,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,2720,Yes,No,,4,0,No,No,2,No,247803
115.2914266,-29.21818825,126866,M028,Midlands,Midlands Rd,232.47,232.47,Single,231.75,231.75,State Road,Left,14,Mid West-Gascoyne,509,Mingenew,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,329,No,No,,1,0,No,No,0,No,247785
114.4640182,-26.4126657,126867,H007,North West Coastal Hwy,North West Coastal Hwy,280.98,280.98,Single,279.24,279.24,State Road,Left,14,Mid West-Gascoyne,804,Shark Bay,Minor Rest Area,No,,Main Roads,No,No,,Surfaced,Asphalt Dense Graded,2100,No,No,,2,0,No,No,0,No,247803
128.5316545,-15.79172767,126868,H011,Victoria Hwy,Victoria Hwy,19.24,19.24,Single,19.24,19.24,State Road,Left,6,Kimberley,4,Wyndham - East Kimberley,Minor Rest Area,No,,Main Roads,No,No,Savannah Way,Unsurfaced,,,No,No,,,,No,No,,No,247862
129.0011867,-31.63895348,126869,H003,Eyre Hwy,Eyre Hwy,721.09,721.09,Right,720.62,720.62,State Road,Right,5,Goldfields - Esperance,603,Dundas,Minor Rest Area,No,Boarder Post ,Main Roads,Yes,No,,Unsurfaced,,,Yes,No,,0,0,No,No,0,No,247631
116.2071789,-32.31442164,126870,H001,Albany Hwy,Albany Hwy,54.49,54.49,Single,54.54,54.54,State Road,Right,8,Wheatbelt,427,Wandering,Major Rest Area,Yes,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,2,0,No,No,1,No,247561
