Scientific Name,Common Name,Threatened status,Kingdom,Class,Family,Genus,Species,Species Author,Profile,Date extracted
Kardomia granitica,a shrub,Vulnerable,Plantae,Magnoliopsida,Myrtaceae,Kardomia,granitica,(A.R.Bean) Peter G.Wilson,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83201,2020-Oct-12
Sannantha tozerensis,a shrub,Vulnerable,Plantae,Magnoliopsida,Myrtaceae,Sannantha,tozerensis,(A.R.Bean) Peter G.Wilson,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83204,2020-Oct-12
Veronica ciliolata,Ciliolate Hebe,Vulnerable,Plantae,Magnoliopsida,Scrophulariaceae,Veronica,ciliolata,(Hook.f.) Cheeseman,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83205,2020-Oct-12
Lysiosepalum abollatum,Woolly Lysiosepalum,Critically Endangered,Plantae,Magnoliopsida,Sterculiaceae,Lysiosepalum,abollatum,C.F.Wilkins,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83216,2020-Oct-12
Tetratheca nephelioides,-,Critically Endangered,Plantae,Magnoliopsida,Tremandraceae,Tetratheca,nephelioides,R.Butcher,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83217,2020-Oct-12
Boehmeria australis subsp. australis,"Tree Nettle, Nettletree",Critically Endangered,Plantae,Magnoliopsida,Urticaceae,Boehmeria,australis,Endl.,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83309,2020-Oct-12
Nyctophilus corbeni,"Corben's Long-eared Bat, South-eastern Long-eared Bat",Vulnerable,Animalia,Mammalia,Vespertilionidae,Nyctophilus,corbeni,"Parnaby, 2009",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83395,2020-Oct-12
Caladenia orientalis,Eastern Spider Orchid,Endangered,Plantae,Liliopsida,Orchidaceae,Caladenia,orientalis,(G.W.Carr) Hopper  A.P.Br.,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83410,2020-Oct-12
Zearaja maugeana,"Maugean Skate, Port Davey Skate",Endangered,Animalia,Chondrichthyes,Rajidae,Zearaja,maugeana,"Last  Gledhill, 2007",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83504,2020-Oct-12
Ctenopterella blechnoides,-,Vulnerable,Plantae,Polypodiatae,Grammitidaceae,Ctenopterella,blechnoides,(Grev.) Parris,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83505,2020-Oct-12
Tomophyllum walleri,-,Vulnerable,Plantae,Polypodiatae,Grammitidaceae,Tomophyllum,walleri,(Maiden  E.Betche) Parris,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83507,2020-Oct-12
Oreogrammitis reinwardtii,-,Vulnerable,Plantae,Polypodiatae,Grammitidaceae,Oreogrammitis,reinwardtii,(Blume) Parris,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83552,2020-Oct-12
Vrydagzynea grayi,Tonsil Orchid,Endangered,Plantae,Liliopsida,Orchidaceae,Vrydagzynea,grayi,D.L.Jones  M.A.Clem.,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83575,2020-Oct-12
Prasophyllum innubum,Brandy Marys Leek-orchid,Critically Endangered,Plantae,Liliopsida,Orchidaceae,Prasophyllum,innubum,D.L.Jones,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83603,2020-Oct-12
Prasophyllum keltonii,Kelton's Leek-orchid,Critically Endangered,Plantae,Liliopsida,Orchidaceae,Prasophyllum,keltonii,D.L.Jones,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83604,2020-Oct-12
Thymichthys politus,Red Handfish,Critically Endangered,Animalia,Actinopterygii,Brachionichthyidae,Thymichthys,politus,"(Richardson, 1844)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83756,2020-Oct-12
Brachiopsilus ziebelli,"Ziebell's Handfish, Waterfall Bay Handfish",Vulnerable,Animalia,Actinopterygii,Brachionichthyidae,Brachiopsilus,ziebelli,"Last  Gledhill, 2009",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83757,2020-Oct-12
