COMMON_USAGE_NAME,RESPONSIBILITY_AREA,LOCAL_GOVERNMENT_NAME,REST_AREA_TYPE,STAY_24_HOUR,OWNERSHIP,SURFACE,SURFACE_TYPE,CONSTRUCTED_SHELTER,NATURAL_SHADE,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,LATITUDE,LONGITUDE
Brand Hwy,Mid West-Gascoyne,Coorow,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-29.983008641,115.301535098
Goldfields Hwy,Goldfields - Esperance,Leonora,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,1,No,-27.47728527,120.535926669
Pinjarra Williams Rd,South West,Murray,Minor Rest Area,No,Main Roads,Surfaced,Unknown,No,Yes,0,0,No,0,No,-32.725632404,116.092290304
Orion St,Goldfields - Esperance,Yilgarn,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,2,No,-31.2319952569999,119.331550191
South Western Hwy,South West,Donnybrook - Balingup,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,0,0,No,0,No,-33.7901822499999,115.991696376
Bussell Hwy,South West,Capel,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,4,0,No,1,Yes,-33.5139901819999,115.573328874
Goldfields Rd,Wheatbelt,Dowerin,Minor Rest Area,No,Main Roads,Surfaced,Asphalt Stone Mastic,Yes,Yes,5,0,No,3,No,-31.197146898,117.029729162
Donnybrook Kojonup Rd,South West,Boyup Brook,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-33.9403929759999,116.696817876
Donnybrook Kojonup Rd,Great Southern,Kojonup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,1,No,-33.885035241,116.836199902
Donnybrook Kojonup Rd,Great Southern,Kojonup,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-33.837351207,117.133609242
Donnybrook Kojonup Rd,South West,Boyup Brook,Major Rest Area,No,Main Roads,Unsurfaced,Unknown,Yes,Yes,4,0,No,2,No,-33.931425142,116.461133838
Great Northern Hwy,Mid West-Gascoyne,Mount Magnet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-28.2820165109999,117.860131761
Coolgardie Esperance Hwy,Goldfields - Esperance,Coolgardie,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-31.2338067759999,121.473556429
Chapman Valley Rd,Mid West-Gascoyne,Chapman Valley,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-28.3405973279999,114.925916286
Chapman Valley Rd,Mid West-Gascoyne,Chapman Valley,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,0,0,No,0,No,-28.5595667279999,114.761534266
South Western Hwy,Metropolitan,Serpentine - Jarrahdale,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-32.311748264,116.005669596
Great Eastern Hwy,Goldfields - Esperance,Coolgardie,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,0,0,No,0,No,-31.190438276,120.401513903
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,2,0,No,1,No,-32.378008774,123.664084281
Shark Bay Rd,Mid West-Gascoyne,Shark Bay,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-25.9262270469999,113.545367839
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,Yes,No,5,0,No,0,No,-31.898250025,126.999564452
Great Eastern Hwy,Wheatbelt,Westonia,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-31.390174986,118.499853101
